Name,Country,City,Item 1 Cost,Item 2 Cost,Item 3 Cost,Lat Lng,Text
Dominic English,"Dec 28, 2023",7:03 AM,2,3,3,"85.7277135872, 101.7198369792",egestas. Aliquam nec enim. Nunc
Jocelyn Villarreal,"Aug 1, 2023",7:51 PM,9,5,7,"62.8774593536, -152.7263755264",Curabitur dictum. Phasellus in felis.
Guinevere Wynn,"Jan 6, 2023",2:02 PM,1,2,7,"-52.7344432128, 64.3580158976","ornare, lectus ante dictum mi,"
Alexander Ramos,"Nov 19, 2023",12:12 AM,7,9,5,"68.6334992384, 83.9410893824",vitae dolor. Donec fringilla. Donec
Daryl Kane,"Mar 1, 2024",8:50 PM,4,9,9,"-89.0586281984, -139.2981598208",nec urna et arcu imperdiet
Jolie Wilder,"Sep 25, 2022",5:40 AM,8,6,9,"52.2602433536, 16.2947714048",sapien. Nunc pulvinar arcu et
Renee Roman,"Feb 16, 2023",4:13 AM,8,4,8,"68.6132560896, -118.1444622336",luctus lobortis. Class aptent taciti
Thor Stout,"Jan 12, 2023",3:23 PM,7,4,0,"51.5515942912, -138.6635026432",Sed eget lacus. Mauris non
Knox Garcia,"Feb 10, 2023",8:19 AM,4,7,0,"35.5743526912, 1.5244265472",sit amet nulla. Donec non
Brielle Riggs,"May 18, 2024",10:12 PM,1,3,9,"55.8074912768, 169.3109505024",tempus risus. Donec egestas. Duis
Claire Wooten,"Oct 7, 2022",6:02 PM,0,4,9,"20.9928999936, 106.3455173632",metus. Aliquam erat volutpat. Nulla
Deirdre Bernard,"Apr 26, 2023",5:26 AM,1,5,7,"85.0266054656, -171.1097032704",hendrerit. Donec porttitor tellus non
Zia Palmer,"May 10, 2023",5:48 AM,9,5,3,"-83.4598564864, -153.5128914944",eu dui. Cum sociis natoque
Christian Grant,"Aug 29, 2024",12:46 PM,8,1,1,"68.4290204672, -106.4402494464","montes, nascetur ridiculus mus. Proin"
Gage Lawson,"May 7, 2023",4:51 AM,7,10,0,"59.5640997888, 105.917036544","risus a ultricies adipiscing, enim"
Cade Roberts,"Apr 25, 2023",10:33 AM,3,7,7,"-53.5430341632, 42.4341049344","non, luctus sit amet, faucibus"
Dawn Hill,"Jun 24, 2023",1:40 PM,7,4,8,"28.5665841152, 81.5559054336",ultrices. Duis volutpat nunc sit
Gray Love,"Jun 18, 2024",2:19 PM,2,4,7,"-19.9302109184, -50.2684732416","sit amet, consectetuer adipiscing elit."
Mark Moody,"Oct 3, 2023",7:56 PM,6,9,4,"-57.4332514304, -81.2733200384",egestas. Aliquam fringilla cursus purus.
Bruno Mercado,"Dec 22, 2023",8:35 PM,3,9,4,"18.7676430336, 169.5059533824",eu metus. In lorem. Donec
Camilla Travis,"Jan 10, 2024",8:02 PM,6,7,7,"77.1354648576, -179.9186804736","pede sagittis augue, eu tempor"
Chastity Alvarado,"Sep 8, 2022",1:04 PM,4,9,10,"66.1125318656, -89.046833664","laoreet posuere, enim nisl elementum"
Tatum Boone,"Aug 29, 2024",4:25 PM,2,0,5,"15.5602610176, 59.7020234752",tellus lorem eu metus. In
Darrel George,"Jan 27, 2024",3:30 AM,6,2,4,"55.7699362816, -160.6546813952",porttitor tellus non magna. Nam
Samson Leach,"Feb 18, 2024",9:07 PM,7,3,1,"16.593473024, -176.9708537856","dolor dapibus gravida. Aliquam tincidunt,"
Giselle Holden,"Jan 7, 2024",12:25 AM,5,8,3,"-0.6110251008, -84.078733312",porttitor scelerisque neque. Nullam nisl.
Ferris Levine,"Feb 27, 2024",5:09 AM,7,6,4,"-59.5485320192, -49.2511755264",sit amet metus. Aliquam erat
Janna Moreno,"Nov 18, 2023",1:12 PM,5,2,10,"-19.174825472, 70.2899089408",risus. Nulla eget metus eu
Abraham Sandoval,"Aug 10, 2024",9:54 AM,2,9,4,"75.8951025664, 91.9807515648","sed dui. Fusce aliquam, enim"
Adele Medina,"Apr 4, 2024",7:54 AM,9,2,4,"-55.0209062912, 31.1672805376",eget tincidunt dui augue eu
Martena Francis,"Dec 12, 2023",2:52 AM,9,5,1,"-31.9491933184, -151.3405410304","orci, consectetuer euismod est arcu"
Rajah Gates,"Dec 11, 2022",5:04 AM,3,4,2,"77.6825314304, 155.6654268416","nec, eleifend non, dapibus rutrum,"
Tate Benton,"Jun 25, 2023",1:44 PM,1,8,8,"24.2216838144, -50.1647537152",luctus. Curabitur egestas nunc sed
Vaughan Tanner,"Oct 7, 2022",5:20 PM,4,2,9,"-89.048101376, -132.143328256","vestibulum lorem, sit amet ultricies"
Emerald Leon,"Jun 22, 2024",3:07 AM,5,2,5,"33.488995328, 142.2527215616",Aliquam rutrum lorem ac risus.
George Garrett,"Nov 23, 2022",2:13 AM,1,2,8,"-16.6901814272, -126.8307547136",eu enim. Etiam imperdiet dictum
Darryl Miranda,"Mar 6, 2024",10:59 AM,3,8,5,"74.728019456, 113.223492096","elit. Etiam laoreet, libero et"
Sydnee Warner,"Aug 7, 2024",5:52 AM,1,1,10,"-81.7246055424, 114.795900928","tellus faucibus leo, in lobortis"
Dolan Britt,"Apr 9, 2024",11:35 AM,8,2,3,"-77.6648940544, -132.9382095872","amet, consectetuer adipiscing elit. Curabitur"
Ursa Yates,"Jan 17, 2024",5:01 AM,10,8,10,"38.0947026944, -51.8936245248",convallis dolor. Quisque tincidunt pede
Gannon Knight,"May 1, 2024",10:52 AM,3,3,2,"46.066386944, -1.7196192768",interdum ligula eu enim. Etiam
Jin Holt,"Jun 30, 2024",12:41 PM,6,5,3,"0.9708634112, 174.5992807424",in faucibus orci luctus et
Gavin Guy,"Jan 29, 2023",2:34 PM,5,4,2,"77.6973084672, -156.8098113536",mus. Proin vel nisl. Quisque
Mufutau Olson,"Dec 7, 2023",5:43 PM,8,5,1,"-69.9173856256, -93.0693718016",Nulla facilisis. Suspendisse commodo tincidunt
Ryan O'Neill,"Jun 25, 2024",5:58 AM,7,5,3,"73.9978272768, -125.6581549056",accumsan neque et nunc. Quisque
Preston Guerra,"May 5, 2023",1:44 AM,7,4,8,"86.7573018624, 173.0139790336","lectus quis massa. Mauris vestibulum,"
Yuri Padilla,"Jun 3, 2023",10:23 PM,6,6,7,"33.1795170304, 18.0844092416",natoque penatibus et magnis dis
Aimee Jones,"Sep 8, 2022",11:55 PM,5,3,0,"-10.6547621888, -91.9696267264","sapien, gravida non, sollicitudin a,"
Idola Haley,"Jul 28, 2024",1:44 AM,3,9,4,"72.3503132672, -168.2397370368","nonummy ut, molestie in, tempus"
Emerson Barrera,"Nov 23, 2022",12:33 AM,8,4,4,"-63.8491401216, -132.2850731008","at, velit. Cras lorem lorem,"
Gregory Carrillo,"Sep 15, 2022",11:41 AM,9,7,7,"-35.4278180864, -76.11894784",gravida molestie arcu. Sed eu
Tyrone Watson,"May 1, 2023",1:32 PM,2,9,3,"88.9620062208, 85.2909097984","ornare, elit elit fermentum risus,"
Malcolm Johns,"Aug 5, 2023",3:41 AM,7,4,6,"39.6789901312, -89.626507776",Vestibulum ante ipsum primis in
Brian Horton,"Aug 7, 2024",6:31 AM,3,1,3,"14.0793668608, -69.8679501824",in consectetuer ipsum nunc id
Kirby Watts,"Apr 27, 2024",11:55 PM,5,8,1,"55.1979862016, -98.3840335872",sapien imperdiet ornare. In faucibus.
